descricao,preco,modelo,marca,rating,url
"        Notebook Ultra Intel Core I3 4GB 1TB HDD Linux 14,1"" Prata - UB422       ","R$2.199,00",UB422,Ultra,"4,4 de 5 estrelas",https://www.amazon.com.br//Notebook-Ultra-Intel-Linux-Prata/dp/B0923BNC8N/ref=sr_1_38?qid=1639236229&s=computers&sr=1-38&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Positivo Motion Q4128C Intel® Atom® Quad-Core™ Windows 10 Home 14.1"" - Cinza – Inclui Microsoft 365*       ","R$1.407,91",,Positivo,"3,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Positivo-Motion-Quad-CoreTM-Windows/dp/B08SMKXGJG/ref=sr_1_39?qid=1639236229&s=computers&sr=1-39&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Acer 15.6"" A315-34-C5EY Celeron N4000 4GB 500GB, NX.HRNAL.001       ","R$2.199,98",Aspire3,ACER,"4,3 de 5 estrelas",https://www.amazon.com.br//Notebook-Acer-A315-34-C5EY-Celeron-NX-HRNAL-001/dp/B0156Q4P94/ref=sr_1_40?qid=1639236229&s=computers&sr=1-40&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Samsung 13.3 Full HD Intel 2.6GHz 4GB RAM 64GB SSD Windows 10 PRO       ,"R$2.299,00",NP530XBB-SF1BR,SAMSUNG,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Samsung-Intel-2-6GHz-Windows/dp/B092337B7M/ref=sr_1_41?qid=1639236229&s=computers&sr=1-41&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Acer Aspire 5 A515-54-712U Core I7 –10510U 8GB Win10       ,"R$4.337,10",NX.HQMAL.00E,ACER,"5,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Aspire-A515-54-712U-10510U-Win10/dp/B099NRCQVD/ref=sr_1_42?qid=1639236229&s=computers&sr=1-42&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook ASUS VivoBook X543UA-GQ3430T Cinza Escuro       ,"R$2.649,51",X543UA-GQ3430T,ASUS,,https://www.amazon.com.br//Notebook-ASUS-VivoBook-X543UA-GQ3430T-Escuro/dp/B09BBTH88J/ref=sr_1_43?qid=1639236229&s=computers&sr=1-43&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        MacBook Air 13.3"" Notebook - Apple M1 chip - 8GB Memoria RAM - 512GB SSD (Último Modelo) - Gold (Dourado) Carregador padrão americano       ","R$9.967,00",MGNE3LL/A,Apple,"4,7 de 5 estrelas",https://www.amazon.com.br//MacBook-Air-13-3-Notebook-Carregador/dp/B08N5M9XBS/ref=sr_1_44?qid=1639236229&s=computers&sr=1-44&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook IdeaPad Gaming 3i, Intel Core i5-10300H, 8GB RAM, 256GB SSD, Placa Dedicada GTX 1650 4GB, Windows 10, 15.6"" Full HD WVA, Azul       ","R$5.849,00",82CG0002BR,Lenovo,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-IdeaPad-i5-10300H-Dedicada-Windows/dp/B09456NBGP/ref=sr_1_45?qid=1639236229&s=computers&sr=1-45&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook, Samsung, Flash F30 Intel Celeron, 4GB RAM, 128GB SSD, Full HD LED 13.3"" , Windows 10, Branco Giz       ","R$2.968,90",FLASHF30,SAMSUNG,"4,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Samsung-F30-Celeron-Windows/dp/B07QY3F8PC/ref=sr_1_46?qid=1639236229&s=computers&sr=1-46&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook ASUS VivoBook X543MA-GQ1300T CELERON DUAL CORE N4020 Intel UHD600 / 4 GB / 500 GB SATA / Windows 10 Home / Cinza Escuro       ,"R$2.045,07",X543MA-GQ1300T,ASUS,"4,0 de 5 estrelas",https://www.amazon.com.br//Notebook-ASUS-VivoBook-X543MA-GQ1300T-CELERON/dp/B099KPD4TS/ref=sr_1_47?qid=1639236229&s=computers&sr=1-47&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
