preco,descricao,url,marca,modelo,rating
"R$ 3.699,90","Notebook ASUS AMD Ryzen 5 3500U, 8GB, 256GB SSD, 15.6´ Full HD, Windows 10 Home, Cinza - M515DA-EJ502T",https://www.kabum.com.br/produto/149914/notebook-asus-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6-full-hd-windows-10-home-cinza-m515da-ej502t,ASUS,M515DA-EJ502T,5.0
"R$ 5.439,90","Notebook Acer Aspire 5 Core i7-10510U, 8GB RAM, GeForce MX250, SSD 512GB, 15.6 Full HD, Windows 10 Home, Prata - A515-54G-79Q0",https://www.kabum.com.br/produto/273089/notebook-acer-aspire-5-core-i7-10510u-8gb-ram-geforce-mx250-ssd-512gb-15-6-full-hd-windows-10-home-prata-a515-54g-79q0,Acer,A515-54G-79Q0,
"R$ 1.329,90","Notebook Multilaser Legacy Cloud Intel Atom Z8350, 2GB RAM, 128GB (HDD+SD Card), Windows 10 Home, 14 HD, Cinza - PC136",https://www.kabum.com.br/produto/235606/notebook-multilaser-legacy-cloud-intel-atom-z8350-2gb-ram-128gb-hdd-sd-card-windows-10-home-14-hd-cinza-pc136,Multilaser,PC136,
"R$ 4.179,90","Notebook Acer Aspire 5 Intel Core i5 1035G1, 8GB, 256GB SSD, 14´ HD, Windows 10 Home, Prata - A514-53-59QJ",https://www.kabum.com.br/produto/152115/notebook-acer-aspire-5-intel-core-i5-1035g1-8gb-256gb-ssd-14-hd-windows-10-home-prata-a514-53-59qj,Acer,NX.A4LAL.003,5.0
"R$ 2.669,90","Notebook Positivo Motion Intel Core i3 4GB, 1TB, Linux, Tela 14´, Cinza Escuro - I341TBi",https://www.kabum.com.br/produto/119049/notebook-positivo-motion-intel-core-i3-4gb-1tb-linux-tela-14-cinza-escuro-i341tbi,Positivo,3011794 / 3011873,5.0
"R$ 1.859,90","Chromebook Samsung SS Intel Celeron DCm, 11.6´ HD, 4GB, 32GB (Armazenamento) - XE310XBA-KT1BR",https://www.kabum.com.br/produto/132594/chromebook-samsung-ss-intel-celeron-dcm-11-6-hd-4gb-32gb-armazenamento-xe310xba-kt1br,Samsung,XE310XBA-KT1BR,4.0
"R$ 5.169,90","Notebook Lenovo Ideapad Flex 5i Intel Core i5-1035G1, 8GB, SSD 256GB, Windows 10 Home, 14´ FHD, Cinza - 81WS0002BR",https://www.kabum.com.br/produto/115253/notebook-lenovo-ideapad-flex-5i-intel-core-i5-1035g1-8gb-ssd-256gb-windows-10-home-14-fhd-cinza-81ws0002br,Lenovo,Ideapad Flex 5,5.0
"R$ 6.699,90","Notebook Asus ZenBook Intel Core I7-1165G7, 8GB, 512 GB SSD, Windows 10 Home, 14´, Cinza Escuro - UX435EA-A5072T",https://www.kabum.com.br/produto/156508/notebook-asus-zenbook-intel-core-i7-1165g7-8gb-512-gb-ssd-windows-10-home-14-cinza-escuro-ux435ea-a5072t,Asus,UX435EA-A5072T,
"R$ 3.599,90","Notebook Acer Aspire 3 Intel Core i3-1005G1, 8GB RAM (2x4GB), SSD 512GB, 15.6 Full HD, Windows 10, Cinza - A315-56-304Q",https://www.kabum.com.br/produto/184928/notebook-acer-aspire-3-intel-core-i3-1005g1-8gb-ram-2x4gb-ssd-512gb-15-6-full-hd-windows-10-cinza-a315-56-304q,Acer,A315-56-304Q,
"R$ 3.469,90","Notebook Acer Aspire 3 A315-23-R6HC AMD Ryzen 5-3500U, 8GB, 512GB SSD, 15.6 HD Ultrafino, Windows 10 Home, Preto - NX.A39AL.004",https://www.kabum.com.br/produto/216195/notebook-acer-aspire-3-a315-23-r6hc-amd-ryzen-5-3500u-8gb-512gb-ssd-15-6-hd-ultrafino-windows-10-home-preto-nx-a39al-004,Acer,A315-23-R6HC (NX.A39AL.004),5.0
"R$ 3.579,90","Notebook Acer Aspire 3 AMD Ryzen 5-3500U, 8GB, 256GB SSD, 15.6´HD 1366x768, Windows 10 Home, Preto - A315-23-R6M7",https://www.kabum.com.br/produto/156098/notebook-acer-aspire-3-amd-ryzen-5-3500u-8gb-256gb-ssd-15-6hd-1366x768-windows-10-home-preto-a315-23-r6m7,Acer,A315-23-R6M7,
"R$ 2.049,90","Chromebook Samsung Intel Dual-Core,  11.6´ HD LED, Google Chrome OS, 4GB, 64GB (Armazenamento) - XE310XBA-KT2BR",https://www.kabum.com.br/produto/132593/chromebook-samsung-intel-dual-core-11-6-hd-led-google-chrome-os-4gb-64gb-armazenamento-xe310xba-kt2br,Samsung,XE310XBA-KT2BR,5.0
"R$ 8.209,90","Notebook LG Gram Intel Core i7-1165G7, 16GB RAM, 256GB SSD M.2 NVMe, 16' IPS, Intel Iris Xe, Windows 10 Home, Preto - 16Z90P-G.BH71P1",https://www.kabum.com.br/produto/211459/notebook-lg-gram-intel-core-i7-1165g7-16gb-ram-256gb-ssd-m-2-nvme-16-ips-intel-iris-xe-windows-10-home-preto-16z90p-g-bh71p1,LG, 16Z90P-G.BH71P1,5.0
"R$ 4.629,90","Notebook Lenovo V15 Intel Core i5 1135G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Intel Iris Xe Graphics, Windows 10 Pro, Preto - 82ME0000BR",https://www.kabum.com.br/produto/270911/notebook-lenovo-v15-intel-core-i5-1135g7-8gb-ram-256gb-ssd-15-6-full-hd-intel-iris-xe-graphics-windows-10-pro-preto-82me0000br,Lenovo,82ME0000BR,
"R$ 5.498,90","Notebook Asus ZenBook 14 Intel Core I5-1135G7, 8GB, 256 GB SSD, Windows 10 Home, 14´, Cinza Escuro - UX425EA-BM319T",https://www.kabum.com.br/produto/156507/notebook-asus-zenbook-14-intel-core-i5-1135g7-8gb-256-gb-ssd-windows-10-home-14-cinza-escuro-ux425ea-bm319t,ASUS,UX425EA-BM319T,
"R$ 3.849,90","Notebook Acer Aspire 5 Intel Core i5-10210U, 4GB RAM, SSD 256GB, 15.6 Full HD, Windows 10, Prata - NX.HQMAL.00H",https://www.kabum.com.br/produto/184926/notebook-acer-aspire-5-intel-core-i5-10210u-4gb-ram-ssd-256gb-15-6-full-hd-windows-10-prata-nx-hqmal-00h,Acer,NX.HQMAL.00H,
"R$ 1.699,90","Notebook Positivo Motion Q464C Atom Quad-Core Z8350, 4GB, 64GB SSD, Windows 10 Home, 14 LED HD, Cinza - 3001902",https://www.kabum.com.br/produto/196705/notebook-positivo-motion-q464c-atom-quad-core-z8350-4gb-64gb-ssd-windows-10-home-14-led-hd-cinza-3001902,Positivo,3001930,
"R$ 3.159,90","Notebook Lenovo Ideapad 3i Intel Core i3-10110U, UHD Graphics, 4GB RAM, 1TB HD, 15,6´ HD, Windows 10 Home, Prata - 82BS0002BR",https://www.kabum.com.br/produto/156934/notebook-lenovo-ideapad-3i-intel-core-i3-10110u-uhd-graphics-4gb-ram-1tb-hd-15-6-hd-windows-10-home-prata-82bs0002br,Lenovo,82BS0002BR,5.0
